protocol,IP_present,url_length,dots_in_url,domain_length,number_of_domains,hyphen_count_in_domain,largest_domain_length,avg_domain_length,directory_length,sub_directory_count,largest_directory_length,avg_directory_length,suspicious_TLD,file_name_length,dost_file_name,delims_file_name,argument_length,number_of_arguments,largest_arg_length,max_delims_in_args,created_days_ago,updated_days_ago,expiration_days_remain,zipcode,label
0.0,0.0,100.0,2.0,34.0,3.0,0.0,27.0,10.666666666666666,66.0,5.0,32.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,1.0,-1.0,0.0
0.0,0.0,80.0,1.0,15.0,2.0,0.0,11.0,7.0,64.0,9.0,24.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2634.0,77.0,288.0,-1.0,1.0
0.0,0.0,90.0,1.0,10.0,2.0,0.0,6.0,4.5,64.0,4.0,23.0,14.75,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,8751.0,18.0,381.0,981081226.0,1.0
0.0,0.0,77.0,1.0,12.0,2.0,0.0,9.0,5.5,5.0,1.0,3.0,3.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,3432.0,1426.0,221.0,-1.0,1.0
0.0,0.0,91.0,1.0,17.0,2.0,0.0,13.0,8.0,20.0,2.0,9.0,8.5,0.0,54.0,0.0,11.0,0.0,0.0,0.0,0.0,5955.0,99.0,292.0,10038.0,1.0
0.0,0.0,103.0,1.0,14.0,2.0,0.0,10.0,6.5,18.0,4.0,5.0,3.25,0.0,52.0,0.0,5.0,19.0,1.0,9.0,1.0,6217.0,6.0,358.0,-1.0,1.0
0.0,0.0,30.0,2.0,20.0,3.0,0.0,10.0,6.0,10.0,1.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7623.0,302.0,48.0,-1.0,0.0
0.0,0.0,88.0,1.0,15.0,2.0,0.0,11.0,7.0,65.0,3.0,38.0,20.333333333333332,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,4524.0,434.0,590.0,-1.0,1.0
0.0,0.0,92.0,1.0,11.0,2.0,0.0,7.0,5.0,81.0,4.0,64.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8612.0,242.0,153.0,-1.0,1.0
0.0,0.0,118.0,2.0,15.0,2.0,0.0,12.0,7.0,17.0,2.0,7.0,7.0,0.0,86.0,1.0,2.0,0.0,0.0,0.0,0.0,3422.0,1105.0,1326.0,-1.0,1.0
0.0,0.0,42.0,4.0,17.0,4.0,0.0,6.0,3.5,19.0,2.0,9.0,8.0,0.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,1.0,-1.0,0.0
0.0,0.0,77.0,2.0,14.0,2.0,0.0,10.0,6.5,23.0,2.0,13.0,10.0,0.0,9.0,1.0,0.0,31.0,2.0,6.0,1.0,7950.0,103.0,85.0,-1.0,1.0
0.0,0.0,264.0,2.0,11.0,2.0,0.0,7.0,5.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,248.0,1.0,6.0,1.0,7390.0,90.0,281.0,94103.0,1.0
1.0,0.0,96.0,1.0,14.0,2.0,0.0,10.0,6.5,58.0,2.0,54.0,27.5,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,6596.0,2953.0,344.0,-1.0,1.0
