IP_present,url_length,dots_in_url,domain_length,number_of_domains,hyphen_count_in_domain,digits_count_in_domain,largest_domain_length,avg_domain_length,directory_length,sub_directory_count,largest_directory_length,avg_directory_length,suspicious_TLD,file_name_length,dots_file_name,delims_file_name,argument_length,number_of_arguments,largest_arg_length,max_delims_in_args,created_days_ago,updated_days_ago,expiration_days_remain,zipcode,label
0.0,19.0,2.0,18.0,3.0,0.0,0.0,10.0,5.3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,637.0,0.0,63.0,-1.0,0.0
0.0,16.0,2.0,15.0,3.0,0.0,0.0,7.0,4.3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,705.0,6.0,26.0,-1.0,0.0
0.0,28.0,2.0,27.0,3.0,0.0,0.0,19.0,8.3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,403.0,12.0,23.0,-1.0,0.0
0.0,31.0,2.0,30.0,3.0,4.0,1.0,22.0,9.3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,0.0
0.0,225.0,2.0,25.0,2.0,0.0,0.0,21.0,12.0,18.0,2.0,8.0,7.5,0.0,24.0,1.0,0.0,158.0,3.0,7.0,1.0,596.0,22.0,73.0,11357.0,1.0
0.0,47.0,3.0,25.0,3.0,0.0,0.0,17.0,7.7,1.0,0.0,0.0,0.0,0.0,21.0,1.0,1.0,0.0,0.0,0.0,0.0,587.0,10.0,22.0,-1.0,0.0
0.0,25.0,2.0,24.0,3.0,0.0,0.0,16.0,7.3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,676.0,12.0,24.0,-1.0,0.0
0.0,36.0,3.0,15.0,3.0,0.0,0.0,5.0,4.3,1.0,0.0,0.0,0.0,0.0,9.0,1.0,0.0,11.0,1.0,6.0,0.0,550.0,2.0,28.0,-1.0,0.0
0.0,20.0,2.0,20.0,3.0,0.0,0.0,12.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,438.0,26.0,80.0,0.0,0.0
0.0,20.0,2.0,19.0,3.0,1.0,0.0,11.0,5.7,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,563.0,17.0,45.0,-1.0,0.0
0.0,13.0,2.0,12.0,3.0,0.0,0.0,4.0,3.3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,659.0,29.0,41.0,-1.0,0.0
0.0,24.0,2.0,23.0,3.0,0.0,0.0,11.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,630.0,23.0,9.0,-1.0,0.0
0.0,50.0,2.0,21.0,2.0,0.0,1.0,17.0,10.0,19.0,3.0,6.0,5.0,0.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,162.0,10.0,20.0,-1.0,1.0
0.0,73.0,4.0,16.0,2.0,0.0,0.0,12.0,7.5,52.0,6.0,20.0,7.5,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,404.0,6.0,174.0,-1.0,1.0
0.0,30.0,3.0,12.0,3.0,0.0,0.0,4.0,3.3,10.0,1.0,8.0,8.0,0.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,803.0,11.0,19.0,23452.0,0.0
0.0,25.0,2.0,24.0,3.0,0.0,0.0,16.0,7.3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,12.0,18.0,1508512.0,0.0
0.0,21.0,2.0,20.0,3.0,0.0,0.0,12.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,435.0,9.0,22.0,913.0,0.0
0.0,54.0,1.0,14.0,2.0,1.0,0.0,11.0,6.5,40.0,6.0,9.0,5.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,1.0
0.0,14.0,2.0,13.0,3.0,0.0,0.0,5.0,3.7,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,771.0,31.0,20.0,60179.0,0.0
0.0,77.0,1.0,23.0,2.0,0.0,0.0,19.0,11.0,54.0,6.0,11.0,7.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,245.0,9.0,89.0,-1.0,1.0
0.0,43.0,1.0,12.0,2.0,0.0,0.0,8.0,5.5,31.0,4.0,10.0,6.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,391.0,20.0,35.0,85260.0,1.0
0.0,61.0,2.0,32.0,3.0,4.0,0.0,24.0,10.0,29.0,1.0,27.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,0.0
0.0,24.0,2.0,23.0,3.0,0.0,0.0,15.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,572.0,55.0,6.0,-1.0,0.0
0.0,23.0,1.0,18.0,2.0,0.0,0.0,14.0,8.5,5.0,1.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,273.0,30.0,1.0,85260.0,1.0
0.0,30.0,1.0,13.0,2.0,0.0,0.0,10.0,6.0,17.0,2.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,11.0,0.0,-1.0,1.0
0.0,22.0,2.0,22.0,3.0,0.0,0.0,14.0,6.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,621.0,68.0,19.0,336.0,0.0
0.0,25.0,3.0,24.0,4.0,0.0,0.0,13.0,5.2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0
0.0,18.0,2.0,17.0,3.0,0.0,0.0,9.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,708.0,119.0,23.0,32256.0,0.0
0.0,17.0,2.0,16.0,3.0,0.0,2.0,8.0,4.7,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,482.0,27.0,5.0,-1.0,0.0
0.0,47.0,2.0,31.0,2.0,0.0,0.0,27.0,15.0,7.0,1.0,5.0,5.0,0.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,186.0,4.0,27.0,123411.0,1.0
0.0,15.0,2.0,15.0,3.0,0.0,0.0,7.0,4.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,761.0,69.0,30.0,-1.0,0.0
0.0,16.0,1.0,16.0,2.0,0.0,0.0,12.0,7.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,226.0,6.0,18.0,80205.0,0.0
0.0,15.0,2.0,15.0,3.0,0.0,0.0,8.0,4.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,0.0
0.0,28.0,2.0,27.0,3.0,0.0,0.0,14.0,8.3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,0.0
